Country Name,Country Code,Year,Value
Africa Eastern and Southern,AFE,2023,1.23616E+12
Africa Western and Central,AFW,2023,7.96586E+11
Albania,ALB,2023,22977677861
Algeria,DZA,2023,2.39899E+11
Andorra,AND,2023,3727673593
Angola,AGO,2023,84722957642
Antigua and Barbuda,ATG,2023,2033085185
Arab World,ARB,2023,3.49152E+12
Argentina,ARG,2023,6.40591E+11
Armenia,ARM,2023,24212134631
Australia,AUS,2023,1.72383E+12
Austria,AUT,2023,5.16034E+11
Azerbaijan,AZE,2023,72356176471
"Bahamas, The",BHS,2023,14338500000
Bahrain,BHR,2023,43205000000
Bangladesh,BGD,2023,4.37415E+11
Barbados,BRB,2023,6393564190
Belarus,BLR,2023,71857382746
Belgium,BEL,2023,6.32217E+11
Belize,BLZ,2023,3281500000
Benin,BEN,2023,19673284686
Bolivia,BOL,2023,45849832906
Bosnia and Herzegovina,BIH,2023,27054889363
Botswana,BWA,2023,19395765126
Brazil,BRA,2023,2.17367E+12
Brunei Darussalam,BRN,2023,15128292954
Bulgaria,BGR,2023,1.01584E+11
Burkina Faso,BFA,2023,20324617839
Burundi,BDI,2023,2642161669
Cabo Verde,CPV,2023,2587252076
Cambodia,KHM,2023,31772759999
Cameroon,CMR,2023,47945510090
Canada,CAN,2023,2.14009E+12
Caribbean small states,CSS,2023,53252637670
Central African Republic,CAF,2023,2555492085
Central Europe and the Baltics,CEB,2023,2.25297E+12
Chad,TCD,2023,13149325359
Chile,CHL,2023,3.35533E+11
China,CHN,2023,1.77948E+13
Colombia,COL,2023,3.6354E+11
Comoros,COM,2023,1352380972
"Congo, Dem. Rep.",COD,2023,66383287003
"Congo, Rep.",COG,2023,15321055818
Costa Rica,CRI,2023,86497941439
Cote d'Ivoire,CIV,2023,78788828907
Croatia,HRV,2023,82688842717
Cyprus,CYP,2023,32229622669
Czechia,CZE,2023,3.30858E+11
Denmark,DNK,2023,4.04199E+11
Djibouti,DJI,2023,4098530514
Dominica,DMA,2023,653992592.6
Dominican Republic,DOM,2023,1.21444E+11
Early-demographic dividend,EAR,2023,1.48478E+13
East Asia & Pacific,EAS,2023,3.07757E+13
East Asia & Pacific (IDA & IBRD countries),TEA,2023,2.11241E+13
East Asia & Pacific (excluding high income),EAP,2023,2.11502E+13
Ecuador,ECU,2023,1.18845E+11
Egypt,EGY,2023,3.95926E+11
El Salvador,SLV,2023,34015620000
Equatorial Guinea,GNQ,2023,12116922539
Estonia,EST,2023,40744848828
Eswatini,SWZ,2023,4597855845
Ethiopia,ETH,2023,1.63698E+11
Euro area,EMU,2023,1.55449E+13
Europe & Central Asia,ECS,2023,2.72406E+13
Europe & Central Asia (IDA & IBRD countries),TEC,2023,5.46628E+12
Europe & Central Asia (excluding high income),ECA,2023,2.09835E+12
European Union,EUU,2023,1.83494E+13
Fiji,FJI,2023,5494797541
Finland,FIN,2023,3.00187E+11
Fragile and conflict affected situations,FCS,2023,1.9068E+12
France,FRA,2023,3.0309E+12
Gabon,GAB,2023,20516134389
"Gambia, The",GMB,2023,2339904157
Georgia,GEO,2023,30535530479
Germany,DEU,2023,4.45608E+12
Ghana,GHA,2023,76370394412
Greece,GRC,2023,2.38206E+11
Grenada,GRD,2023,1320334236
Guatemala,GTM,2023,1.0205E+11
Guinea,GIN,2023,23612295818
Guinea-Bissau,GNB,2023,1966461400
Guyana,GUY,2023,16786302158
Haiti,HTI,2023,19850829758
Heavily indebted poor countries (HIPC),HPC,2023,1.13047E+12
High income,HIC,2023,6.76537E+13
Honduras,HND,2023,34400509852
Hong Kong SAR,HKG,2023,3.82055E+11
Hungary,HUN,2023,2.12389E+11
IBRD only,IBD,2023,3.8733E+13
IDA & IBRD total,IBT,2023,4.15597E+13
IDA blend,IDB,2023,1.04402E+12
IDA only,IDX,2023,1.78607E+12
IDA total,IDA,2023,2.82804E+12
Iceland,ISL,2023,31020032583
India,IND,2023,3.54992E+12
Indonesia,IDN,2023,1.37117E+12
"Iran, Islamic Rep.",IRN,2023,4.01505E+11
Iraq,IRQ,2023,2.50843E+11
Ireland,IRL,2023,5.45629E+11
Israel,ISR,2023,5.09901E+11
Italy,ITA,2023,2.25485E+12
Jamaica,JAM,2023,19423355367
Japan,JPN,2023,4.21295E+12
Jordan,JOR,2023,50813642349
Kazakhstan,KAZ,2023,2.61421E+11
Kenya,KEN,2023,1.07441E+11
Kiribati,KIR,2023,279034355.1
south korea,KOR,2023,1.71279E+12
Kosovo,XKX,2023,10438351483
Kuwait,KWT,2023,1.61772E+11
kyrgyzstan,KGZ,2023,13987627909
Lao PDR,LAO,2023,15843155731
Late-demographic dividend,LTE,2023,2.83414E+13
Latin America & Caribbean,LCN,2023,7.09433E+12
Latin America & Caribbean (excluding high income),LAC,2023,6.05058E+12
Latin America & the Caribbean (IDA & IBRD countries),TLA,2023,6.77278E+12
Latvia,LVA,2023,43627078481
Least developed countries: UN classification,LDC,2023,1.50425E+12
Lesotho,LSO,2023,2046039024
Liberia,LBR,2023,4332000000
Libya,LBY,2023,50491722446
Lithuania,LTU,2023,77836396963
Low & middle income,LMY,2023,3.74252E+13
Low income,LIC,2023,6.46798E+11
Lower middle income,LMC,2023,7.38475E+12
Luxembourg,LUX,2023,85755006124
"Macao SAR, China",MAC,2023,47061843716
Madagascar,MDG,2023,16031702915
Malawi,MWI,2023,14084341062
Malaysia,MYS,2023,3.99649E+11
Maldives,MDV,2023,6600000000
Mali,MLI,2023,20904898296
Malta,MLT,2023,20956999452
Marshall Islands,MHL,2023,284000000
Mauritania,MRT,2023,10452577063
Mauritius,MUS,2023,14397127281
Mexico,MEX,2023,1.78889E+12
"Micronesia, Fed. Sts.",FSM,2023,460000000
Middle East & North Africa,MEA,2023,4.28768E+12
Middle East & North Africa (IDA & IBRD countries),TMN,2023,1.62917E+12
Middle East & North Africa (excluding high income),MNA,2023,1.64655E+12
Middle income,MIC,2023,3.67869E+13
Moldova,MDA,2023,16539436547
Mongolia,MNG,2023,19872180370
Montenegro,MNE,2023,7404541965
Morocco,MAR,2023,1.41109E+11
Mozambique,MOZ,2023,20624597847
Myanmar,MMR,2023,64815031669
Namibia,NAM,2023,12351024844
Nauru,NRU,2023,154127798.2
Nepal,NPL,2023,40908073367
Netherlands,NLD,2023,1.11812E+12
New Zealand,NZL,2023,2.53466E+11
Nicaragua,NIC,2023,17829215284
Niger,NER,2023,16819170421
Nigeria,NGA,2023,3.62815E+11
North America,NAC,2023,2.95093E+13
North Macedonia,MKD,2023,14761237042
Norway,NOR,2023,4.85513E+11
OECD members,OED,2023,6.40989E+13
Oman,OMN,2023,1.08192E+11
Other small states,OSS,2023,2.34402E+11
Pacific island small states,PSS,2023,11232231820
Pakistan,PAK,2023,3.38368E+11
Palau,PLW,2023,263020733.7
Panama,PAN,2023,83382400000
Papua New Guinea,PNG,2023,30932496250
Paraguay,PRY,2023,42956263544
Peru,PER,2023,2.67603E+11
Philippines,PHL,2023,4.37146E+11
Poland,POL,2023,8.11229E+11
Portugal,PRT,2023,2.8708E+11
Post-demographic dividend,PST,2023,5.98518E+13
Pre-demographic dividend,PRE,2023,1.56253E+12
Puerto Rico,PRI,2023,1.17902E+11
Romania,ROU,2023,3.51003E+11
Russia,RUS,2023,2.02142E+12
Rwanda,RWA,2023,14097768648
Samoa,WSM,2023,934100336.3
Sao Tome and Principe,STP,2023,603240749
Saudi Arabia,SAU,2023,1.06758E+12
Senegal,SEN,2023,31013986429
Serbia,SRB,2023,75187125427
Seychelles,SYC,2023,2141450171
Sierra Leone,SLE,2023,3809832237
Singapore,SGP,2023,5.01428E+11
Sint Maarten (Dutch part),SXM,2023,1623165683
Slovakia,SVK,2023,1.32794E+11
Slovenia,SVN,2023,68216781411
Small states,SST,2023,2.98978E+11
Solomon Islands,SLB,2023,1631286701
Somalia,SOM,2023,11679800110
South Africa,ZAF,2023,3.77782E+11
South Asia,SAS,2023,4.47557E+12
South Asia (IDA & IBRD),TSA,2023,4.47557E+12
Spain,ESP,2023,1.58069E+12
Sri Lanka,LKA,2023,84356860421
St. Kitts and Nevis,KNA,2023,1077033111
St. Lucia,LCA,2023,2519925939
St. Vincent and the Grenadines,VCT,2023,1065962963
Sub-Saharan Africa,SSF,2023,2.03275E+12
Sub-Saharan Africa (IDA & IBRD countries),TSS,2023,2.03275E+12
Sub-Saharan Africa (excluding high income),SSA,2023,2.03061E+12
Sudan,SDN,2023,1.09327E+11
Suriname,SUR,2023,3782437296
Sweden,SWE,2023,5.93268E+11
Switzerland,CHE,2023,8.8494E+11
Tajikistan,TJK,2023,12060602009
Tanzania,TZA,2023,79158286334
Thailand,THA,2023,5.14945E+11
Timor-Leste,TLS,2023,2243142908
Togo,TGO,2023,9171261835
Trinidad and Tobago,TTO,2023,28139944790
Tunisia,TUN,2023,48529595417
Turkey,TUR,2023,1.10802E+12
Turkmenistan,TKM,2023,59887334844
Turks and Caicos Islands,TCA,2023,1402054391
Tuvalu,TUV,2023,62280311.59
Uganda,UGA,2023,49272882214
Ukraine,UKR,2023,1.78757E+11
United Arab Emirates,ARE,2023,5.04173E+11
United Kingdom,GBR,2023,3.34003E+12
United States,USA,2023,2.73609E+13
Upper middle income,UMC,2023,2.94037E+13
Uruguay,URY,2023,77240831587
Uzbekistan,UZB,2023,90889149307
Vanuatu,VUT,2023,1126313359
Lebanon,LBN,2022,20992421948.808086
Vietnam,VNM,2023,4.29717E+11
Venezuela,VEN,2014,482359318767.7031
West Bank and Gaza,PSE,2023,17396300000
World,WLD,2023,1.05435E+14
Zambia,ZMB,2023,28162630954
Zimbabwe,ZWE,2023,26538273499
